pagnr,zpsex,zpage,w1_q88,w1_q107,w1_q115,w1_q116,w1_q4,w2_q4,w1_q5x1,w2_q2x1,w1_q6x1,w1_q7,w2_q3,w1_q8,w1_q12,w1_q43,w1_q44,w1_q48x1,w1_q48x2,w1_q48x3,w1_q48x4,w1_q48x5,w1_q48x6,w2_q15,w1_q49,w2_q14,w1_q50,w1_q51,w1_quiz,w2_quiz,w1_q21,w1_q22,w1_q26x1,w1_q26x2,w1_q26x3,w1_q26x4,w1_q26x5,w1_q26x6,w1_q26x7,w1_q26x8,w1_q26x9,w1_q26x10,w1_q26x11,w1_q26x12,w1_q68x1,w1_q76x2,w1_q64x1,w1_q64x2,w1_q64x3,w1_q83x1,w1_q83x6,w1_q83x2,w1_q83x7,w1_q83x3,w1_q83x8,w1_q83x4,w1_q83x9,w1_q83x5,w1_q83x10,w1_q66x1,w1_q66x2,w1_q66x3,w1_q66x4,w1_q68x1,w1_q68x2,w1_q68x3,w2_q33,w2_q34x1,w2_q34x2,w2_q34x3,w2_q34x4,w2_q34x5,w2_q34x6,w2_q34x7,w2_q34x8,w2_q35R1,w2_q35R2,w2_q35R3,w2_q35R4,w2_q35R5,w2_q35R6,w2_q35R7,w2_q35R8,w2_q35R9,w2_q35R10,w2_q35R11,w2_q35R12,w2_q35R13,w2_q35R14,w2_q35R15,w2_q35R88,w2_q35R99,w2_q36,w2_q37x1,w2_q37x2,w2_q37x3,w2_q37x4,w2_q37x5,w2_q37x6,w2_q37x7,w2_q37x8,w2_q38R1,w2_q38R2,w2_q38R3,w2_q38R4,w2_q38R5,w2_q38R6,w2_q38R7,w2_q38R8,w2_q38R9,w2_q38R10,w2_q38R88,w2_q38R99,w2_q39x1,w2_q39x2,w2_q39x3,w2_q39x4,w2_q39x5,w2_q41,w2_q42x1,w2_q42x2,w2_q42x3,w2_q42x4,w2_q43R1,w2_q43R2,w2_q43R3,w2_q43R4,w2_q43R5,w2_q43R6,w2_q43R7,w2_q43R8,w2_q43R9,w2_q43R10,w2_q43R11,w2_q43R12,w2_q43R13,w2_q43R14,w2_q43R15,w2_q43R16,w2_q43R17,w2_q43R88,w2_q43R99,w2_q44,w2_q45,w2_q46,w2_q47,w2_q48,w2_q49,a_immigration_index,strategies
24,2,20,9,4,2,2,2,1,13000,13000,10000,12,6,11,2,1,3,10,8,0,3,10,2,6,10,5,,,5,5,3,5,4,1,2,1,3,1,1,2,3,3,4,5,2,3,4,3,5,2,3,1,4,2,2,4,2,5,1,2,3,3,4,2,2,3,2,3,8,5,8,8,2,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,8,8,8,7,7,8,8,0,0,0,0,0,0,0,0,0,1,0,0,4,4,5,5,5,1,2,1,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,,,,1.5,[3 4]
27,2,22,8,4,3,2,1,1,20000,12000,11000,6,8,6,4,6,2,3,6,0,0,10,0,8,10,4,6,,5,5,1,10,5,3,2,4,4,1,3,2,3,2,5,5,1,4,3,5,5,4,2,4,3,5,1,4,4,5,1,1,1,1,3,1,2,1,1,3,2,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,8,8,8,8,6,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,1,4,4,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,2,2,2,1,[3]
30,1,63,7,5,2,3,2,1,21000,10000,11000,6,1,1,4,1,2,10,0,0,0,5,0,1,10,4,1,,3,4,1,10,3,2,2,4,4,5,1,1,3,1,1,4,2,3,3,2,2,1,5,3,3,2,1,1,5,4,1,,,,4,2,3,,1,7,2,9,9,2,7,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,,,,,,,,,,,,,,,,,,,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3.5,[2 3]
37,1,36,7,4,4,3,3,3,10000,99999,17000,10,3,10,10,,,0,8,10,8,0,0,3,10,4,10,,6,2,2,0,1,1,1,3,5,5,1,3,1,4,1,1,2,1,3,3,1,3,1,1,2,2,2,2,3,2,1,1,1,1,2,2,2,2,4,8,8,8,8,8,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,,,,,,,,,,,,,,,,,,,,,5,4,5,5,5,4,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,1,2,5,[1 3 4 5]
40,1,43,7,1,3,3,3,2,10000,11000,11000,11,12,11,5,,,4,5,5,0,5,0,1,6,4,11,,4,4,1,5,4,2,2,5,5,5,5,5,5,3,4,5,2,4,4,5,1,2,4,2,5,3,2,2,4,4,2,2,2,3,4,2,3,3,1,9,9,9,8,8,7,7,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,6,8,9,8,8,8,8,0,0,0,0,0,0,0,0,1,0,0,0,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1.5,[1]
44,2,28,13,3,3,3,3,2,10000,10000,17000,3,1,1,7,3,2,8,8,10,8,2,8,3,8,4,3,,1,4,2,0,4,1,2,2,2,2,1,4,2,3,1,2,3,4,5,4,1,5,1,2,2,5,2,2,5,5,1,3,1,3,4,3,3,2,3,2,5,2,1,5,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,7,1,8,9,8,9,8,9,0,0,0,0,0,0,0,0,1,0,0,0,2,4,4,4,5,3,4,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,1,2,2,4.5,[2]
45,1,26,8,4,2,3,2,3,10000,11000,15000,,,2,6,,,5,5,5,3,5,6,2,10,4,,,6,4,,2,2,1,3,3,,3,2,1,3,2,2,3,2,3,3,4,4,4,2,4,3,3,3,2,3,1,2,2,2,3,4,2,2,2,2,3,5,4,,8,1,8,6,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,7,8,2,8,3,1,8,8,0,0,0,0,0,0,0,0,0,1,0,0,1,4,5,5,5,1,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,2,1,2,3.5,[1]
47,2,22,8,4,4,3,2,1,22000,22000,11000,6,6,6,2,6,2,8,1,0,0,10,0,6,9,4,6,,4,5,1,8,4,1,3,3,3,1,3,1,1,1,5,5,1,3,5,5,5,1,3,1,4,2,2,4,1,2,4,1,1,1,4,1,3,2,2,2,2,1,8,1,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,,8,8,1,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,4,2,3,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,1,1,1,[1 2 3 4]
51,1,21,8,3,2,3,2,2,13000,13000,20000,12,6,6,4,6,3,5,8,0,0,10,6,6,10,4,6,,4,4,1,5,4,2,3,4,,1,3,5,2,1,4,4,2,3,4,4,4,2,1,2,3,3,2,2,3,2,4,1,2,2,4,2,3,2,3,3,3,2,2,1,9,9,9,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,3,8,8,8,8,8,2,1,8,0,0,0,0,1,0,0,0,0,0,0,0,5,4,4,5,5,3,4,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,2,2,2,2,[2 1 3]
55,2,75,4,1,2,4,2,1,11000,,,12,,,5,,,5,3,0,0,10,0,6,10,4,6,,4,4,1,6,3,3,2,4,1,1,3,2,1,1,3,4,,2,3,4,3,3,4,3,3,1,1,3,4,3,3,1,4,,4,,3,3,4,7,5,8,8,8,8,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,8,7,8,8,7,8,8,0,0,0,0,0,1,0,0,0,0,0,0,5,4,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2.5,[1]
58,2,71,4,5,2,4,4,3,11000,,11000,,,1,3,,,5,5,7,5,5,2,3,7,4,2,,4,3,2,3,1,1,3,1,4,1,1,2,2,2,1,1,4,3,3,4,2,1,5,2,5,4,1,1,4,1,4,4,4,,4,4,4,4,1,8,7,8,8,8,3,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,7,8,7,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5,[5]
60,2,63,4,1,2,4,3,1,21000,11000,11000,6,12,1,3,1,2,8,2,0,0,2,,1,10,4,1,,6,4,3,2,3,4,2,4,3,3,1,2,1,2,1,,2,5,3,2,,3,2,3,4,5,2,3,4,4,1,4,4,4,4,2,2,3,1,7,7,7,9,9,9,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,8,8,8,9,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,4,3,5,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,,,,,[2]
62,1,53,7,5,3,4,2,2,12000,11000,10000,3,,1,7,3,2,0,7,10,0,0,6,3,10,4,,,4,4,1,8,2,2,2,3,4,1,1,2,4,3,1,5,,5,3,3,4,2,3,2,4,2,2,2,4,4,2,1,1,1,4,,1,2,1,7,9,6,3,8,3,3,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,1,5,2,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,3,[2 4]
66,2,51,7,1,2,4,3,3,11000,,,2,,,5,2,2,6,9,3,0,2,0,12,10,4,2,,1,5,1,3,4,3,2,4,4,,3,4,3,3,1,2,4,4,3,4,1,4,2,2,3,5,2,2,2,2,3,4,3,3,3,4,4,3,3,2,1,1,8,8,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,8,8,8,8,8,8,8,0,0,0,0,1,0,0,0,0,0,0,0,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4.5,[]
68,2,58,13,5,4,4,3,2,20000,11000,11000,6,6,10,2,6,3,,,0,,6,,6,,4,,10,5,4,,,4,3,,3,5,2,,3,4,2,,3,,,,,,3,3,1,3,4,2,3,4,4,2,4,3,2,4,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,8,8,1,8,9,9,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,,5,5,2,4,2,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,,,,,[2 3]
71,2,33,6,2,4,4,4,4,,17000,,,3,,7,,,3,8,5,1,0,10,3,5,4,9,,4,1,2,0,5,1,3,5,5,5,3,1,3,5,1,1,1,5,5,5,5,3,5,2,2,1,1,3,3,5,3,3,1,2,4,1,4,4,4,9,9,9,9,9,9,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,4,4,5,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,5,[1 3 4 5]
73,2,67,6,5,3,4,2,2,11000,13000,99999,12,1,12,8,,,4,8,9,0,1,0,1,10,4,1,,5,5,2,2,4,3,3,2,4,2,2,,2,2,2,3,3,3,4,3,2,4,2,4,4,2,2,2,4,3,4,2,2,2,3,3,3,3,2,3,4,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,8,8,8,8,8,8,8,0,0,0,0,0,0,1,0,0,0,0,0,2,5,5,5,5,3,5,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,,,,3.5,[3]
75,1,50,7,5,3,4,2,2,11000,11000,11000,1,1,1,3,1,3,10,3,3,3,3,,1,7,4,1,,4,4,3,3,2,1,3,5,,4,2,,3,4,1,1,2,5,4,4,3,3,3,2,2,2,3,2,4,4,4,3,4,,4,2,4,3,2,2,4,8,8,9,9,8,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,3,3,9,4,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,4,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5,[2 3 4]
77,1,29,12,1,4,4,3,2,13000,13000,11000,6,6,1,3,1,2,9,5,1,2,7,2,6,10,4,1,,3,3,1,6,3,5,1,3,2,1,2,1,2,2,3,5,2,1,4,4,5,1,1,4,4,3,1,4,2,4,3,3,4,2,4,2,3,3,3,9,9,9,9,8,9,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,8,8,8,8,7,8,8,0,0,0,0,0,0,0,0,0,1,0,0,1,5,5,5,5,2,2,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,1,2,2,[3]
78,1,46,4,5,4,4,3,3,10000,10000,10000,,12,,6,,,7,2,7,0,0,,3,7,4,,,2,4,2,0,4,1,3,,,2,2,,3,4,1,1,3,5,4,5,2,2,3,3,4,3,3,4,2,2,4,3,3,4,3,3,3,3,2,4,9,5,9,9,9,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,9,8,4,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,4,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,,,,5,[]
91,2,30,9,4,2,5,2,2,10000,,22000,3,,3,9,3,3,10,6,10,0,0,6,5,10,4,3,,4,6,2,0,2,3,1,1,3,5,1,5,3,5,1,1,2,5,1,3,3,3,2,4,3,3,2,3,4,3,2,2,2,2,4,2,2,2,4,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,1,1,1,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,,,,5,[]
93,2,48,4,4,3,5,3,2,11000,10000,10000,2,3,3,8,,,0,5,10,4,0,5,3,9,4,3,,5,4,2,0,3,3,1,1,3,5,1,3,3,5,1,1,2,5,1,3,3,3,3,4,2,3,2,3,3,3,3,2,2,2,4,2,3,2,2,5,9,9,9,9,9,9,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,8,8,8,8,8,8,8,0,0,0,0,0,0,1,0,0,0,0,0,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5,[1 3]
95,2,35,7,2,2,5,4,3,10000,,,,,,4,2,3,5,7,3,4,2,,2,9,4,2,,2,2,3,5,3,2,2,2,2,3,2,2,3,4,2,3,3,4,2,3,2,3,2,2,5,5,2,3,4,3,2,3,3,4,4,3,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,8,8,2,8,8,8,8,0,0,0,0,1,0,0,0,0,0,0,0,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,3.5,[2 1 5]
98,2,86,6,3,2,5,2,2,11000,24000,21000,2,12,2,5,2,2,5,9,1,1,7,2,2,10,4,2,,4,6,1,5,3,2,2,,4,1,2,,3,3,3,4,3,3,4,,3,5,1,1,4,4,2,3,3,5,2,1,1,2,4,3,4,2,1,7,7,7,7,8,8,8,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,8,8,8,8,1,8,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2.5,[2]
103,2,80,4,3,2,5,2,1,19000,10000,11000,2,2,1,4,2,3,4,8,2,0,1,,2,10,4,2,,5,5,3,10,3,3,2,2,,4,2,3,2,4,2,1,,2,2,2,2,2,2,4,4,3,3,3,2,2,3,,3,3,4,,3,3,1,8,8,8,8,2,8,8,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,8,8,8,8,8,8,0,0,0,0,1,0,0,0,0,0,0,0,4,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4.5,[2 3]
105,1,32,7,1,4,5,2,1,16000,10000,11000,2,2,12,5,3,3,1,10,10,0,0,10,3,10,4,2,,6,5,1,3,3,3,3,2,5,4,1,3,2,5,1,4,2,4,4,3,2,1,3,3,3,3,3,3,4,3,1,3,1,2,4,2,2,2,2,8,4,1,1,8,8,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,1,0,0,0,5,5,5,5,5,2,2,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,,,,3.5,[2 1]
106,2,60,6,4,3,5,3,3,11000,13000,13000,,1,1,5,,,7,6,5,2,2,0,1,9,4,,,5,2,3,2,5,1,2,1,3,3,1,2,3,2,1,3,,3,4,5,2,3,2,2,4,4,2,2,4,5,2,3,3,3,4,,3,2,2,6,9,2,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,9,2,9,8,9,9,8,0,0,0,0,0,0,0,1,0,0,0,0,4,4,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,[1 3 5]
107,2,32,7,2,4,5,3,4,17000,17000,10000,12,3,1,5,,,7,0,3,0,0,3,3,8,4,1,,5,4,2,0,3,1,2,4,5,1,3,5,3,4,1,2,2,5,5,5,5,1,2,5,5,4,1,2,4,5,2,4,3,3,4,2,4,3,4,1,9,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,8,9,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,4.5,[3]
110,2,58,7,1,3,5,3,2,17000,22000,11000,12,3,12,,,,0,0,0,3,0,0,9,10,4,11,,6,5,2,0,3,1,3,5,5,,3,5,3,4,1,2,1,4,5,5,1,3,1,1,4,1,1,4,3,5,1,3,3,4,3,1,3,3,1,7,2,1,7,8,3,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,6,8,8,8,1,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4.5,[]
114,2,76,5,1,3,5,3,3,11000,11000,99999,1,1,,5,1,2,10,0,0,0,,,1,6,4,1,,3,2,3,7,,1,3,3,5,4,1,4,2,4,1,1,,4,5,4,1,2,3,2,4,4,2,4,4,1,3,3,4,,3,,,2,4,3,9,9,9,8,8,8,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,1,0,0,0,4,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5,[2 3 5]
115,2,71,7,2,2,5,2,3,10000,11000,21000,1,1,1,1,1,2,10,1,0,0,6,0,1,0,4,,1,5,5,3,3,4,2,1,2,3,4,2,2,1,3,3,4,2,3,3,3,4,3,2,4,4,5,1,4,4,4,2,2,2,2,3,2,4,3,3,7,5,7,7,2,8,8,8,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,4,8,8,8,8,8,8,8,0,0,1,0,0,0,0,0,0,0,0,0,3,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2.5,[1 2 3]
