2203
idno,freehms,gincdif,lrscale,impcntr,euftf,group
1441,1,-0.5,0,1,-0.19999999999999996,1
1467,1,0.5,-0.19999999999999996,0.33333333333333337,0,6
1486,1,-0,0.19999999999999996,0.33333333333333337,0.3999999999999999,2
1493,-0.5,0.5,0.3999999999999999,-1,-0.4,6
1504,0.5,-0.5,-0.19999999999999996,-0.33333333333333326,0.19999999999999996,6
1543,1,-0,-0.4,0.33333333333333337,1,1
1546,1,0.5,-0.4,-1,-0.4,5
1559,1,0.5,-0.6,0.33333333333333337,-0.19999999999999996,3
1633,1,-0,-0.4,-0.33333333333333326,0.3999999999999999,2
1657,0.5,0.5,0,0.33333333333333337,0,1
1680,1,1,-1,-0.33333333333333326,0.6000000000000001,2
1714,1,0.5,-0.19999999999999996,0.33333333333333337,0.6000000000000001,2
1728,0.5,0.5,-0.19999999999999996,-0.33333333333333326,-0.19999999999999996,2
1756,-0,0.5,0,0.33333333333333337,0.19999999999999996,2
1805,1,1,-0.4,0.33333333333333337,0.19999999999999996,6
1833,0.5,-0,-0.19999999999999996,0.33333333333333337,0,6
1836,1,1,-0.4,1,0.19999999999999996,2
1929,0.5,0.5,0,0.33333333333333337,1,3
2012,-1,-1,-0.6,1,1,2
2043,0.5,0.5,-0.4,0.33333333333333337,0.19999999999999996,5
2046,0.5,0.5,-0.4,0.33333333333333337,0.6000000000000001,6
2097,0.5,0.5,0,0.33333333333333337,0.6000000000000001,6
2105,0.5,1,-0.6,0.33333333333333337,0.3999999999999999,5
2129,1,0.5,-0.19999999999999996,1,0.6000000000000001,1
2154,0.5,0.5,-0.4,0.33333333333333337,0.8,1
2204,1,1,0.19999999999999996,0.33333333333333337,0.3999999999999999,5
2261,0.5,0.5,0,-0.33333333333333326,0.6000000000000001,1
2328,0.5,1,0,0.33333333333333337,1,1
2339,1,-0,0.19999999999999996,-0.33333333333333326,0.3999999999999999,1
2402,1,1,0,1,0,2
2434,1,0.5,-1,1,0.19999999999999996,5
2461,0.5,-0,0,-0.33333333333333326,0,3
2567,0.5,0.5,0,-0.33333333333333326,0.6000000000000001,6
2573,0.5,0.5,0,0.33333333333333337,0.3999999999999999,6
2602,1,0.5,0,0.33333333333333337,1,2
2604,0.5,1,0,0.33333333333333337,0,6
2612,0.5,0.5,0,-0.33333333333333326,0,2
2613,0.5,0.5,0.3999999999999999,-0.33333333333333326,0,1
2626,0.5,0.5,-0.4,0.33333333333333337,-0.6,2
