"","freehms","gincdif","lrscale","impcntr","euftf","item","group"
"1",1,-0.0762913600656713,-0.166333573310568,0.554588408488165,0.514899146733243,"freehms","1"
"2",-0.0762913600656713,1,0.178631012355173,-0.172421738034527,0.00204238882234811,"gincdif","1"
"3",-0.166333573310568,0.178631012355173,1,-0.537247887244522,-0.488762426910567,"lrscale","1"
"4",0.554588408488165,-0.172421738034527,-0.537247887244522,1,0.819955013547737,"impcntr","1"
"5",0.514899146733243,0.00204238882234811,-0.488762426910567,0.819955013547737,1,"euftf","1"
"6",1,0.514228965988321,-0.25123196796116,0.250947138171316,-0.256985622004555,"freehms","2"
"7",0.514228965988321,1,-0.095927306883875,0.171328174000207,-0.18261131437529,"gincdif","2"
"8",-0.25123196796116,-0.095927306883875,1,-0.317236670852945,0.207154910963452,"lrscale","2"
"9",0.250947138171316,0.171328174000207,-0.317236670852945,1,0.310747109305935,"impcntr","2"
"10",-0.256985622004555,-0.18261131437529,0.207154910963452,0.310747109305935,1,"euftf","2"
"11",1,0.0231841038438931,-0.00601387811299506,0.174463336410227,0.139633267016347,"freehms","3"
"12",0.0231841038438931,1,-0.154438523953424,0.191355866567101,0.689535681003633,"gincdif","3"
"13",-0.00601387811299506,-0.154438523953424,1,0.079355396103984,-0.309219026747672,"lrscale","3"
"14",0.174463336410227,0.191355866567101,0.079355396103984,1,0.045682890166504,"impcntr","3"
"15",0.139633267016347,0.689535681003633,-0.309219026747672,0.045682890166504,1,"euftf","3"
"16",1,-0.437868333729706,0.226064815534998,0.0234682580575235,0.0933788217094976,"freehms","4"
"17",-0.437868333729706,1,-0.00690535941868178,-0.0309647927409465,-0.191143344253887,"gincdif","4"
"18",0.226064815534998,-0.00690535941868178,1,-0.0807357579154928,-0.0683544400279417,"lrscale","4"
"19",0.0234682580575235,-0.0309647927409465,-0.0807357579154928,1,0.213305506508844,"impcntr","4"
"20",0.0933788217094976,-0.191143344253887,-0.0683544400279417,0.213305506508844,1,"euftf","4"
"21",1,1,-0.00344673931129292,1,0.676365005864415,"freehms","5"
"22",1,1,-0.00344673931129292,1,0.676365005864415,"gincdif","5"
"23",-0.00344673931129292,-0.00344673931129292,1,-0.00344673931129292,0.246821501844736,"lrscale","5"
"24",1,1,-0.00344673931129292,1,0.676365005864415,"impcntr","5"
"25",0.676365005864415,0.676365005864415,0.246821501844736,0.676365005864415,1,"euftf","5"
"26",1,0.528767339335344,-0.271894973518851,0.0158812303563266,0.473952015517067,"freehms","6"
"27",0.528767339335344,1,-0.138158826338772,0.0857942578104258,0.439733048454198,"gincdif","6"
"28",-0.271894973518851,-0.138158826338772,1,0.0570361136194809,-0.194958093204662,"lrscale","6"
"29",0.0158812303563266,0.0857942578104258,0.0570361136194809,1,0.476459146069446,"impcntr","6"
"30",0.473952015517067,0.439733048454198,-0.194958093204662,0.476459146069446,1,"euftf","6"
